,0,1
199,7,579
200,7,419
201,7,650
202,7,193
203,7,351
204,7,361
205,57,522
206,7,666
207,202,697
208,7,620
209,202,634
210,202,704
211,7,639
212,64,202
213,7,709
214,7,153
215,36,202
216,7,725
217,7,733
218,202,753
219,202,361
220,202,759
221,7,358
222,7,621
223,202,785
224,202,592
225,202,792
226,202,792
227,202,779
228,7,64
229,57,697
230,202,537
231,61,109
232,7,548
233,202,714
234,7,878
235,882,884
236,7,892
237,7,753
238,7,792
239,7,792
240,1,545
241,202,906
242,7,948
243,202,948
244,202,650
245,7,129
246,7,963
247,202,825
248,7,838
249,359,523
250,202,535
251,202,781
252,202,256
253,7,931
254,2,202
255,202,807
256,925,1018
257,1018,1019
258,202,984
259,7,1041
260,730,882
261,342,882
262,7,881
263,7,198
264,7,330
265,7,132
266,7,533
267,882,1125
268,882,1119
269,984,1018
270,882,1099
271,7,906
272,882,962
273,7,945
274,1018,1154
275,7,209
276,7,882
277,577,882
278,1018,1165
279,882,1256
280,7,1166
281,635,882
282,882,1257
283,7,1281
284,882,1282
285,7,593
286,7,1098
287,882,923
288,7,882
289,882,925
290,7,1223
291,359,832
292,7,1011
293,882,1315
294,465,882
295,882,1331
296,882,920
297,647,882
298,882,1331
299,7,1335
300,7,1334
301,882,1268
302,7,964
303,882,1053
304,882,1342
305,7,1268
306,7,152
307,1312,1352
308,546,1352
309,608,1352
310,1352,1370
311,635,1352
312,7,283
313,7,1053
314,202,235
315,13,882
316,1370,1383
317,1,1352
318,1018,1201
319,592,882
320,1383,1391
321,1011,1383
322,882,1385
323,882,1392
324,1383,1400
325,204,882
326,882,1207
327,7,1413
328,1383,1402
329,468,882
330,882,1162
331,7,522
332,882,904
333,468,1352
334,7,235
335,149,1383
336,7,1428
337,7,1034
338,725,1383
339,961,1383
340,465,1383
341,7,935
342,729,882
343,468,1383
344,163,1383
345,1383,1448
346,304,882
347,1018,1439
348,7,417
349,882,1438
350,882,1348
351,882,1018
352,1383,1447
353,41,1383
354,882,1383
355,7,465
356,7,280
357,1222,1383
358,823,1352
359,1383,1487
360,1383,1464
361,1322,1383
362,202,1518
363,7,23
364,44,1383
365,1352,1353
366,882,1396
367,7,1386
368,1352,1487
369,35,1352
370,1245,1383
371,465,1352
372,37,1383
373,1383,1557
374,1348,1383
375,1383,1562
376,1383,1548
377,1383,1521
378,35,1383
379,1369,1383
380,1383,1571
381,7,1525
382,1383,1579
383,1383,1568
384,7,80
385,1383,1576
386,7,537
387,1383,1623
388,7,545
389,7,125
390,7,1629
391,359,1510
392,882,1386
393,882,1334
394,7,1596
395,7,1665
396,7,1316
397,7,540
398,1383,1700
399,7,1702
400,1383,1657
401,359,1566
402,1018,1714
403,57,1566
404,1383,1726
405,304,1383
406,359,1733
407,7,304
408,7,1664
409,592,1352
410,1383,1767
411,178,1771
412,1383,1773
413,25,1771
414,204,1771
415,1556,1771
416,1757,1771
417,1771,1782
418,1,1771
419,1317,1771
420,1754,1771
421,1771,1788
422,304,1771
423,1383,1725
424,1771,1790
425,363,1383
426,1576,1771
427,1771,1800
428,937,1771
429,1771,1805
430,1704,1771
431,823,1771
432,722,1771
433,905,1771
434,1731,1771
435,1281,1771
436,1334,1771
437,4,1352
438,1771,1806
439,1771,1820
440,7,1686
441,1714,1771
442,39,1352
443,35,545
444,1352,1832
445,1352,1555
446,13,1771
447,1719,1847
448,1690,1846
449,29,1846
450,1352,1585
451,239,1352
452,1771,1851
453,1771,1852
454,1771,1852
455,1771,1773
456,1348,1771
457,1771,1856
458,7,1858
459,1612,1771
460,1771,1865
461,882,1317
462,1,882
463,1771,1866
464,882,1860
465,25,882
466,882,1870
467,882,1585
468,1746,1771
469,1744,1771
470,882,905
471,1771,1874
472,1352,1753
473,1771,1872
474,846,1771
475,1771,1871
476,7,905
477,1765,1771
478,1771,1882
479,1771,1879
480,1771,1884
481,882,1693
482,882,1888
483,1,57
484,1771,1904
485,178,882
486,202,1620
487,1529,1771
488,1713,1771
489,1771,1921
490,1565,1771
491,57,1921
492,57,1923
493,1201,1352
494,1352,1713
495,1352,1363
496,1769,1846
497,1846,1962
498,274,1846
499,57,1317
500,1771,1860
501,1771,1970
502,7,1204
503,1771,1981
504,1771,1988
505,1771,1971
506,1771,1923
507,1771,2000
508,1771,1896
509,1771,1973
510,1771,1972
511,1771,1937
512,202,1566
513,1771,1955
514,1771,2009
515,415,1771
516,1771,2022
517,1771,2004
518,1990,2028
519,1771,1890
520,1771,2035
521,1771,2028
522,1653,1771
523,202,1508
524,1771,2037
525,359,2040
526,1499,2028
527,7,2044
528,57,2053
529,57,1508
530,2028,2066
531,635,2067
532,2028,2059
533,1948,2068
534,1566,2028
535,1331,2072
536,2053,2073
537,2053,2073
538,1771,2052
539,1771,2079
540,1044,1771
541,41,202
542,202,2028
543,202,2028
544,1508,2028
545,7,2028
546,7,2028
547,1896,2028
548,57,2028
549,7,17
550,1190,2028
551,57,1386
552,57,2053
553,1386,2028
554,202,1690
555,202,2091
556,202,1301
557,1990,2067
558,202,2092
559,2028,2100
560,425,1383
561,1201,1383
562,1383,1386
563,1,1383
564,1316,1383
565,7,1383
566,1317,1383
567,1217,1383
568,1383,1846
569,1383,1690
570,1383,1585
571,1383,1396
572,309,1383
573,1383,1565
574,1334,1383
575,1383,1485
576,523,1383
577,1353,1383
578,882,1383
579,353,1383
580,780,1383
581,905,1383
582,2028,2093
583,2028,2105
584,2028,2112
585,2028,2096
586,2028,2103
587,2067,2103
588,1473,2028
589,2030,2067
590,1404,2028
591,2067,2116
592,2067,2085
593,7,1317
594,215,2028
595,2054,2067
596,2028,2085
597,1998,2067
598,202,1204
599,1803,2028
600,2028,2149
601,202,1170
602,202,2151
603,2067,2162
604,202,2054
605,251,2067
606,2067,2166
607,2067,2168
608,1948,2113
609,1585,1948
610,1948,2053
611,1948,2053
612,2028,2135
613,2028,2174
614,2028,2034
615,202,2184
616,7,1982
617,2067,2142
618,1053,2028
619,1846,2188
620,1846,2180
621,1846,2144
622,1846,1913
623,1845,1846
624,1386,1846
625,1566,1846
626,1846,1948
627,1846,2040
628,215,1846
629,1201,1846
630,202,2032
631,1352,2053
632,545,2053
633,7,1788
634,1948,2194
635,202,2197
636,2028,2214
637,202,2044
638,2028,2220
639,2028,2221
640,2028,2217
641,1937,2028
642,1204,2028
643,7,215
644,1044,2028
645,1905,2072
646,1331,2072
647,1098,2072
648,1566,2072
649,2072,2187
650,2028,2219
651,2028,2238
652,202,2162
653,2028,2045
654,2028,2250
655,1762,2028
656,1948,2141
657,2028,2253
658,1690,1948
659,1383,2258
660,1719,1967
661,363,2028
662,1948,2047
663,2028,2267
664,2028,2173
665,2028,2272
666,2028,2181
667,7,2046
668,777,1948
669,2067,2229
670,2067,2261
671,1634,2067
672,215,1383
673,7,2097
674,1529,2067
675,1765,2067
676,2067,2269
677,2067,2298
678,1890,2067
679,2028,2278
680,7,57
681,1719,2053
682,61,2053
683,1846,2268
684,1317,1846
685,1557,2067
686,1629,2067
687,171,2067
688,2067,2221
689,2067,2227
690,1948,2299
691,235,2073
692,2028,2046
693,2072,2316
694,2067,2317
695,1899,2067
696,2028,2131
697,1400,2072
698,7,2205
699,2067,2189
700,2067,2325
701,25,2028
702,2028,2325
703,1502,2067
704,2028,2204
705,1967,2067
706,2067,2119
707,2067,2292
708,1948,2165
709,7,1899
710,2028,2348
711,2067,2346
712,2028,2276
713,2028,2358
714,2028,2251
715,1281,2067
716,7,1487
717,1921,2067
718,1731,2067
719,1953,2028
720,1953,2067
721,2067,2260
722,2072,2296
723,1612,2028
724,2028,2242
725,57,228
726,1946,2028
727,353,2067
728,2067,2367
729,1846,2385
730,1846,2386
731,1846,2387
732,1846,1878
733,2028,2346
734,1585,2028
735,1948,2399
736,1317,1352
737,57,2411
738,1615,1948
739,57,1316
740,57,1201
741,2067,2424
742,2028,2434
743,1746,1948
744,2028,2410
745,2067,2332
746,7,2404
747,2028,2441
748,202,304
749,1383,1566
750,2028,2344
751,2067,2449
752,57,2452
753,2067,2453
754,2067,2435
755,1860,2028
756,2028,2090
757,2028,2462
758,1948,2455
759,1557,2028
760,7,1555
761,2028,2359
762,2028,2466
763,7,2378
764,1555,2067
765,2028,2479
766,2067,2296
767,395,2028
768,2028,2492
769,1352,1693
770,2028,2454
771,962,2028
772,7,425
773,1528,2028
774,1352,1383
775,2067,2090
776,2028,2519
777,241,1352
778,7,2397
779,202,2296
780,1922,2028
781,7,2533
782,2028,2534
783,2067,2312
784,1383,2053
785,184,2028
786,2028,2539
787,2028,2540
788,1719,2158
789,2067,2540
790,2067,2532
791,2067,2505
792,2067,2548
793,2067,2514
794,2067,2549
795,2067,2556
796,2067,2475
797,905,2067
798,2067,2559
799,7,2231
800,2067,2567
801,2067,2569
802,2067,2573
803,2067,2566
804,2028,2576
805,1948,2580
806,2028,2124
807,7,1318
808,2028,2584
809,2028,2415
810,2028,2588
811,2028,2097
812,2028,2333
813,2067,2598
814,2067,2574
815,2067,2597
816,2067,2592
817,2067,2570
818,2067,2571
819,2067,2572
820,2067,2603
821,2067,2601
822,2067,2602
823,2067,2604
824,2067,2585
825,2028,2594
826,1383,1846
827,2067,2617
828,2067,2622
829,2067,2623
830,2067,2621
831,2067,2628
832,2067,2568
833,2067,2629
834,2067,2632
835,2067,2631
836,2067,2634
837,57,2593
838,1352,1528
839,425,1352
840,2028,2329
841,2067,2606
842,2067,2640
843,1752,2642
844,2028,2438
845,2642,2643
846,2399,2642
847,925,2647
848,2028,2437
849,2067,2648
850,1565,2028
851,2028,2649
852,2028,2315
853,1352,1386
854,664,1352
855,1352,1478
856,1352,1714
857,309,1352
858,2067,2639
859,1967,2028
860,1,2028
861,2028,2636
862,1788,2028
863,1331,1352
864,2067,2671
865,2067,2657
866,2067,2670
867,2067,2672
868,2067,2669
869,2067,2673
870,2067,2633
871,2067,2275
872,202,2590
873,2028,2296
874,1954,2028
875,202,1899
876,2173,2647
877,1954,2067
878,41,1352
879,61,1352
880,1352,1967
881,1352,1565
882,1352,1529
883,1352,1953
884,197,1352
885,25,2067
886,2067,2096
887,1502,2028
888,2028,2491
889,2028,2719
890,2028,2726
891,1832,2028
892,2028,2727
893,2028,2727
894,2028,2683
895,2028,2680
896,2028,2684
897,1543,2028
898,2028,2682
899,2028,2198
900,2647,2734
901,1666,2028
902,2028,2647
903,583,2647
904,1272,2647
905,1529,2028
906,2028,2647
907,2028,2071
908,1675,2028
909,1018,2757
910,1018,2296
911,1018,2198
912,2028,2123
913,41,1018
914,2028,2538
915,1859,2647
916,2612,2647
917,1948,2665
918,1948,2070
919,1948,2599
920,202,2724
921,2647,2774
922,2028,2776
923,1916,2028
924,2647,2781
925,2647,2782
926,1331,2053
927,35,2647
928,2647,2783
929,2529,2642
930,2028,2787
931,2647,2788
932,2647,2792
933,202,1693
934,57,2778
935,2647,2784
936,2028,2802
937,202,2726
938,2028,2804
939,202,645
940,2028,2600
941,2028,2275
942,7,640
943,2028,2796
944,2028,2409
945,546,2028
946,2028,2609
947,2028,2778
948,1018,2812
949,2028,2262
950,2028,2063
951,1802,2028
952,1018,2364
953,2647,2730
954,2028,2761
955,2028,2801
956,2028,2822
957,2647,2828
958,7,2319
959,2028,2784
960,7,2388
961,546,2067
962,1675,2067
963,780,2028
964,2028,2831
965,2028,2846
966,545,1331
967,2067,2262
968,2028,2809
969,2028,2848
970,2028,2679
971,2028,2866
972,2642,2872
973,57,2812
974,57,1565
975,57,64
976,57,2214
977,2028,2861
978,2028,2877
979,2028,2494
980,2028,2405
981,2028,2033
982,2028,2880
983,2028,2837
984,57,2859
985,2067,2886
986,2028,2884
987,2028,2876
988,2028,2879
989,2028,2896
990,2028,2644
991,2332,2647
992,2647,2875
993,2028,2838
994,1648,2028
995,2028,2917
996,2028,2923
997,2028,2925
998,1352,1846
999,2028,2812
1000,1840,2028
1001,2642,2968
1002,2642,2758
1003,2600,2642
1004,2524,2642
1005,2028,2484
1006,2028,3598
1007,2028,2980
1008,2642,2994
1009,2073,2971
1010,1629,2028
1011,2028,2829
1012,2067,3001
1013,2642,2993
1014,2496,2642
1015,2642,2926
1016,2642,2809
1017,2028,2725
1018,2028,3013
1019,2642,3006
1020,2485,2647
1021,2642,2788
1022,2028,2993
1023,2028,2176
1024,2028,2777
1025,2067,3019
1026,2647,2725
1027,2028,3045
1028,2028,2610
1029,520,2028
1030,2028,2901
1031,2642,3048
1032,1352,2194
1033,2028,2558
1034,7,3050
1035,2028,2110
1036,1746,2028
1037,2028,2733
1038,2028,2686
1039,2028,2762
1040,2028,2351
1041,7,2174
1042,1810,2642
1043,2028,3054
1044,7,2943
1045,2028,2943
1046,2388,2642
1047,1953,2642
1048,2642,2963
1049,2635,2647
1050,2642,3080
1051,2642,2876
1052,1018,1912
1053,104,1018
1054,2647,3002
1055,2176,2642
1056,1832,2642
1057,2334,2642
1058,2642,2942
1059,188,2642
1060,2642,2944
1061,242,2642
1062,905,2642
1063,2028,2835
1064,2642,3104
1065,2642,3099
1066,2642,2977
1067,2125,2642
1068,1018,1281
1069,2642,3110
1070,2642,3111
1071,2642,3112
1072,2642,3119
1073,2642,3105
1074,2642,3078
1075,2476,2642
1076,1352,3029
1077,2647,3125
1078,2642,3138
1079,1018,2963
1080,2642,3141
1081,2291,2642
1082,2404,2642
1083,1018,3020
1084,6,1018
1085,1018,2928
1086,1018,3127
1087,256,1018
1088,2642,3150
1089,592,2642
1090,2642,3598
1091,2642,3146
1092,1018,1394
1093,1899,2028
1094,2642,3044
1095,2642,3121
1096,1018,1502
1097,2642,3161
1098,7,3161
1099,1018,3164
1100,2647,3166
1101,2642,3136
1102,1018,2969
1103,1352,1769
1104,2642,2889
1105,2642,2733
1106,2642,2819
1107,1018,1565
1108,1018,3598
1109,1890,2028
1110,2028,2751
1111,2642,3175
1112,2642,3181
1113,545,1352
1114,2642,3183
1115,2642,3120
1116,308,1018
1117,2642,3187
1118,1018,3145
1119,202,1018
1120,202,1018
1121,1018,3193
1122,1856,2028
1123,2028,3195
1124,2642,3182
1125,353,2028
1126,1018,2961
1127,1018,3190
1128,2642,3202
1129,1352,3204
1130,57,1396
1131,2028,2343
1132,1018,3205
1133,2028,2642
1134,2642,2934
1135,363,2642
1136,1018,3194
1137,1018,2934
1138,2028,3050
1139,2028,3002
1140,2028,3209
1141,2647,2916
1142,2028,2977
1143,2343,2642
1144,2028,3161
1145,1271,2642
1146,2028,3221
1147,215,2642
1148,2642,3222
1149,2642,3223
1150,2642,3005
1151,2642,2731
1152,2647,3084
1153,57,1245
1154,1018,2405
1155,1018,3240
1156,2642,3241
1157,2028,3032
1158,1018,3245
1159,2028,2763
1160,2028,2929
1161,2028,2178
1162,2028,3198
1163,1018,3251
1164,2028,3172
1165,1018,2067
1166,230,2067
1167,6,2028
1168,2028,2688
1169,2028,2498
1170,1806,2028
1171,545,3262
1172,1018,3225
1173,1018,3233
1174,2028,2780
1175,57,1403
1176,1018,2725
1177,2642,3239
1178,882,3197
1179,2647,3047
1180,2028,3275
1181,1018,2958
1182,2642,3185
1183,2028,2821
1184,2642,3276
1185,2642,2987
1186,2642,3277
1187,2642,3246
1188,1981,2642
1189,2028,3062
1190,2642,3273
1191,1018,2291
1192,2028,3289
1193,2647,3290
1194,2642,3291
1195,2642,2725
1196,2642,2780
1197,2028,3292
1198,2642,3292
1199,1018,3295
1200,2028,3293
1201,1018,2045
1202,2028,3219
1203,2028,3185
1204,2642,3297
1205,41,2028
1206,1018,2780
1207,1018,2334
1208,1018,3185
1209,1971,2642
1210,1295,2642
1211,2642,3306
1212,729,2642
1213,41,2642
1214,2642,3312
1215,2392,2642
1216,1731,2028
1217,1953,2647
1218,2642,3013
1219,2642,3316
1220,2028,3113
1221,2647,3323
1222,1018,3316
1223,2028,3335
1224,2028,3336
1225,2028,3265
1226,1018,3338
1227,2028,2710
1228,2028,2961
1229,2642,3341
1230,905,1352
1231,33,57
1232,2028,3343
1233,2642,3203
1234,2642,3348
1235,2028,3348
1236,2642,3352
1237,1018,3355
1238,57,2388
1239,2028,2388
1240,1018,3366
1241,1719,1810
1242,1771,2028
1243,1018,3374
1244,1334,2028
1245,2642,3380
1246,2642,3382
1247,2642,3370
1248,1018,1885
1249,2067,3378
1250,2028,3378
1251,2028,3333
1252,2028,3287
1253,2642,3236
1254,1018,2328
1255,1052,2028
1256,1052,2642
1257,1018,3198
1258,2642,3387
1259,2642,3195
1260,2642,3374
1261,2642,2767
1262,2028,3390
1263,1352,2580
1264,1352,2053
1265,202,3391
1266,550,2028
1267,2647,2867
1268,2028,2125
1269,2028,3367
1270,2642,3404
1271,2642,3405
1272,2642,3408
1273,1018,3292
1274,592,1018
1275,1018,2098
1276,1948,3411
1277,2647,3207
1278,2642,3225
1279,2028,3412
1280,2028,3413
1281,2642,3268
1282,2028,3416
1283,2642,3417
1284,2028,2306
1285,2647,3418
1286,2472,2642
1287,2642,3419
1288,1819,2642
1289,2028,3435
1290,2642,2784
1291,1018,3436
1292,1352,3439
1293,1620,2642
1294,2642,3137
1295,2028,3440
1296,1018,2178
1297,2642,3433
1298,2647,3165
1299,1018,1620
1300,2642,3335
1301,1846,2053
1302,1018,2600
1303,2642,3441
1304,2642,3443
1305,2642,3444
1306,2642,3231
1307,1819,2028
1308,2028,2230
1309,2642,3449
1310,13,2642
1311,2642,3392
1312,2642,3237
1313,13,2028
1314,2028,3311
1315,2642,3451
1316,2642,3452
1317,3452,3455
1318,1352,2325
1319,1499,2067
1320,2642,3435
1321,2642,3412
1322,1499,2642
1323,2642,3455
1324,2028,3392
1325,13,1352
1326,177,1352
1327,2028,3462
1328,2625,2642
1329,2028,3453
1330,2028,3257
1331,2642,3462
1332,2484,2642
1333,2642,3464
1334,1352,2266
1335,870,1352
1336,2067,3475
1337,2642,3458
1338,2642,3003
1339,1916,2642
1340,2642,3247
1341,2642,3395
1342,2610,2642
1343,2028,2249
1344,1018,2763
1345,1018,3309
1346,2642,3487
1347,2642,3391
1348,171,1018
1349,2028,3490
1350,361,2067
1351,2028,3494
1352,2028,2942
1353,2028,3107
1354,363,1018
1355,2028,2897
1356,2028,2728
1357,2067,3502
1358,2642,3503
1359,3452,3465
1360,2249,2642
1361,230,1018
1362,1018,3381
1363,1018,1548
1364,2642,3302
1365,2642,3448
1366,2642,3514
1367,2642,3515
1368,2050,2642
1369,2642,3523
1370,1018,3520
1371,2647,3086
1372,2647,3394
1373,700,2642
1374,202,700
1375,2642,3415
1376,2028,3476
1377,729,2028
1378,2212,2642
1379,2642,3465
1380,1018,2028
1381,2642,3538
1382,1018,2642
1383,2642,3548
1384,2318,2642
1385,2642,3511
1386,1490,2642
1387,2642,3506
1388,1018,3550
1389,2642,3208
1390,1352,1566
1391,1018,3006
1392,2028,3020
1393,1018,3568
1394,729,1018
1395,2028,2944
1396,2028,3572
1397,2642,3126
1398,2642,3573
1399,545,1352
1400,115,1352
1401,1948,3572
1402,2028,3464
1403,2028,3466
1404,2642,3463
1405,1018,3000
1406,1018,2642
1407,2028,2625
1408,2028,3237
1409,1018,2625
1410,1018,3476
1411,1018,2728
1412,1018,3438
1413,2028,3601
1414,353,2642
1415,2642,3605
1416,2642,3608
1417,2642,3609
1418,2028,3610
1419,2642,3062
1420,2642,2961
1421,2498,2642
1422,2642,3612
1423,2642,3568
1424,2642,3613
1425,2165,2642
1426,2642,3591
1427,2642,3624
1428,2642,3050
1429,2642,3533
1430,2642,3628
1431,1352,3262
1432,2642,3368
1433,304,2642
1434,2642,3229
1435,2642,3623
1436,1018,2880
1437,2642,3582
1438,2642,3647
1439,1018,2692
1440,1018,3466
1441,1018,3650
1442,2642,2897
1443,1018,3571
1444,2028,3531
1445,2079,2642
1446,2642,3535
1447,2028,3465
1448,2642,2755
1449,2642,3662
1450,2642,2728
1451,2642,3668
1452,1018,3671
1453,2028,3658
1454,1018,3673
1455,2642,3319
1456,2642,3675
1457,1612,2642
1458,2642,3664
1459,2642,3677
1460,2642,3679
1461,841,1018
1462,2642,3475
1463,2642,3549
1464,2642,3681
1465,2647,3641
1466,1018,3646
1467,2642,3107
1468,2642,3317
1469,2487,2642
1470,2642,3684
1471,2642,3585
1472,2642,3687
1473,2642,3545
1474,2028,3545
1475,2642,3696
1476,1967,2642
1477,1018,3697
1478,2028,2067
1479,1018,1159
1480,2642,3702
1481,2642,3366
1482,180,2642
1483,2028,2652
1484,2315,2642
1485,1018,3496
1486,1018,3710
1487,1018,2125
1488,856,2642
1489,192,1352
1490,2028,3408
1491,1018,2594
1492,2642,3722
1493,2642,3724
1494,2642,3725
1495,2642,3618
1496,2642,3703
1497,2642,3342
1498,202,3730
1499,1018,3237
1500,1948,3734
1501,2647,3744
1502,2647,2962
1503,2017,2647
1504,2017,2067
1505,2028,3744
1506,1948,3744
1507,2067,3757
1508,2028,3757
1509,2067,3756
1510,2067,3759
1511,2067,3744
1512,2028,3759
1513,2067,3760
1514,2067,3761
1515,1018,3013
1516,2028,3756
1517,2647,3756
1518,2647,3757
1519,2647,3759
1520,2647,3760
1521,2642,3778
1522,2642,3735
1523,2642,3769
1524,2028,3649
1525,2067,3795
1526,2067,3794
1527,2067,3793
1528,2067,3792
1529,2067,3791
1530,2067,3790
1531,2067,3789
1532,2067,3788
1533,2067,3787
1534,2067,3786
1535,2067,3785
1536,792,2642
1537,2028,2328
1538,2028,3366
1539,2642,3808
1540,481,2642
1541,2642,3649
1542,2642,3810
1543,2642,3160
1544,1948,3756
1545,1948,3757
1546,2612,2642
1547,2642,3813
1548,2642,2865
1549,1675,2642
1550,2642,3814
1551,2642,3336
1552,2642,3797
1553,2642,3345
1554,2642,3822
1555,2642,3825
1556,1018,3744
1557,1018,3223
1558,2642,3738
1559,2110,2642
1560,1018,1967
1561,215,2067
1562,882,3744
1563,2642,3848
1564,2642,3856
1565,2642,3846
1566,1018,2404
1567,2642,3056
1568,2642,3534
1569,2642,3860
1570,2642,3801
1571,2647,3845
1572,2647,3869
1573,687,882
1574,2642,3820
1575,2642,3883
1576,2391,2642
1577,2642,3168
1578,2642,3891
1579,2642,3892
1580,57,2642
1581,2642,3832
1582,1565,2642
1583,2642,3913
1584,2642,3172
1585,2642,3894
1586,1018,3385
1587,2642,3917
1588,2642,3543
1589,1018,3735
1590,1788,2642
1591,2642,3924
1592,2642,3927
1593,202,3099
1594,2642,3972
1595,2053,3977
1596,2053,3977
1597,1731,2642
1598,2642,3998
1599,2552,2642
1600,2642,3828
1601,2296,2642
1602,2642,4005
1603,2642,3611
1604,2642,4013
1605,2642,3862
1606,2642,3526
1607,2642,3219
1608,2642,4025
1609,2397,2642
1610,2642,3904
1611,1998,2642
1612,2642,3928
1613,2642,4011
1614,2642,3854
1615,2642,3875
1616,2642,4028
1617,2642,4029
1618,2642,3821
1619,202,2188
1620,1018,3715
1621,1502,2642
1622,2642,3500
1623,2642,3650
1624,2642,3767
1625,2642,4038
1626,2642,4048
1627,2642,4047
1628,2642,2805
1629,146,2642
1630,2642,3479
1631,1018,4077
1632,2642,4078
1633,882,4038
1634,2642,3101
1635,2642,3697
1636,2409,2642
1637,202,4096
1638,545,1566
1639,545,1719
1640,202,3101
1641,1911,2642
1642,2642,4135
1643,2642,4113
1644,2642,4142
1645,2647,4141
1646,2647,4141
1647,1018,4146
1648,1018,4147
1649,1018,4118
1650,1018,3272
1651,2642,4165
1652,2642,3682
1653,1018,4170
1654,17,1018
1655,1018,4098
1656,1018,3916
1657,1352,2004
1658,2642,4159
1659,1018,4078
1660,2642,4197
1661,2642,3214
1662,2642,4197
1663,2642,3646
1664,2067,3574
1665,2642,3926
1666,57,4214
1667,202,4198
1668,1018,3143
1669,1018,4228
1670,4197,4231
1671,905,1719
1672,1719,2198
1673,2642,2839
1674,4197,4217
1675,3574,4197
1676,2642,3887
1677,1018,4246
1678,2642,3600
1679,57,3465
1680,1018,3981
1681,1018,2388
1682,1352,2344
1683,4197,4262
1684,2642,4269
1685,4084,4197
1686,1018,4176
1687,4197,4271
1688,3976,4197
1689,2642,4189
1690,1018,4282
1691,57,353
1692,4197,4287
1693,57,550
1694,57,2397
1695,3980,4197
1696,2262,4197
1697,1018,4247
1698,1018,3219
1699,1991,2642
1700,4197,4307
1701,2642,4309
1702,4197,4312
1703,2958,4197
1704,3923,4197
1705,4197,4333
1706,2642,3916
1707,1948,3593
1708,1334,4197
1709,3531,4197
1710,1018,4371
1711,2404,4197
1712,202,280
1713,1018,4235
1714,3143,4197
1715,4197,4228
1716,4197,4375
1717,2642,3815
1718,2642,4379
1719,2642,4375
1720,2063,2642
1721,2642,4283
1722,2067,2642
1723,2067,2642
1724,2642,4391
1725,2642,4393
1726,2642,4401
1727,2642,4350
1728,4382,4402
1729,2642,4273
1730,4197,4350
1731,1018,3242
1732,2819,4197
1733,1018,3107
1734,4172,4402
1735,3441,4197
1736,2600,4197
1737,4197,4419
1738,4197,4418
1739,202,3897
1740,4402,4424
1741,4402,4409
1742,2642,4336
1743,2642,2880
1744,545,4197
1745,1185,1948
1746,57,1899
1747,4197,4438
1748,2642,3113
1749,540,2642
1750,2642,4439
1751,1272,4197
1752,4197,4361
1753,4389,4400
1754,4197,4235
1755,2642,4442
1756,2642,4402
1757,2642,4402
1758,4402,4440
1759,2710,4197
1760,4197,4431
1761,4244,4402
1762,1334,4400
1763,2642,4430
1764,3465,4197
1765,2642,4447
1766,2642,4449
1767,2642,4443
1768,4400,4452
