article,best_topic,likelyhood,keywords
94,8,0.15691396725879483,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
95,8,0.10450660450660448,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
96,4,0.3103254769921437,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
97,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
98,4,0.19129759129759127,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
99,8,0.17893217893217894,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
100,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
101,9,0.21890331890331893,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
102,10,0.152832674571805,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
103,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
104,3,0.2026615359948693,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
105,8,0.283982683982684,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
106,9,0.2391867391867392,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
107,3,0.17493112947658404,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
108,2,0.18980716253443525,"government, plan, tax, make, add, reduce, industry, cut, time, state"
109,9,0.1278890600924499,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
110,5,0.2876197876197876,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
111,4,0.5560411810411809,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
112,6,0.3547722119150691,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
113,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
114,7,0.17939005439005443,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
115,1,0.3117193439774085,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
116,9,0.18181818181818185,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
117,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
118,8,0.39359108324625564,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
119,3,0.22880318334863792,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
120,8,0.21776203594385415,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
121,9,0.19109124027156812,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
122,3,0.11519036519036517,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
123,9,0.25709354855083494,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
124,3,0.4421888790820831,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
125,3,0.1818181818181818,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
126,10,0.10688705234159779,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
127,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
128,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
129,8,0.13398132266056792,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
130,8,0.1188672438672439,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
131,3,0.11946386946386944,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
132,8,0.14527089072543617,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
133,3,0.15782828282828285,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
134,9,0.22381711855396066,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
135,1,0.1376730265619154,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
136,10,0.20501720501720505,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
137,3,0.33320383320383323,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
138,7,0.5149377371599594,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
139,1,0.23751402918069583,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
140,4,0.23086124401913877,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
141,10,0.2693777149735699,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
142,3,0.24573604901473753,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
143,4,0.24154294624093287,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
144,8,0.25840032982890127,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
145,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
146,0,0.1623225259588896,"trade, official, japanese, import, foreign, make, action, country, open, bill"
147,9,0.1880091234929945,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
148,5,0.17153679653679654,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
149,8,0.11720983419096626,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
150,9,0.15168350168350173,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
151,8,0.22390572390572394,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
152,6,0.15585681375155064,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
153,8,0.2770866560340245,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
154,9,0.1419109124027157,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
155,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
156,8,0.17396184062850734,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
157,9,0.1239057239057239,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
158,3,0.3377611733776118,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
159,4,0.3358288770053477,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
160,3,0.1560921717171717,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
161,9,0.17136275031011874,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
162,8,0.13237639553429026,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
163,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
164,3,0.3207070707070708,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
165,9,0.18227046585255544,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
166,8,0.2176722176722177,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
167,3,0.22958397534668726,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
168,3,0.22958397534668726,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
169,0,0.4877946127946127,"trade, official, japanese, import, foreign, make, action, country, open, bill"
170,9,0.26293547722119154,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
171,3,0.1190082644628099,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
172,9,0.16654040404040404,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
173,10,0.26703202235117135,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
174,0,0.2739618406285073,"trade, official, japanese, import, foreign, make, action, country, open, bill"
175,3,0.13719008264462806,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
176,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
177,1,0.24242424242424243,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
178,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
179,3,0.14236706689536874,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
180,3,0.30456075910621366,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
181,3,0.4476133887898594,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
182,3,0.18658810325476996,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
183,10,0.1832785688207375,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
184,2,0.1971861471861472,"government, plan, tax, make, add, reduce, industry, cut, time, state"
185,8,0.12121212121212122,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
186,7,0.15104533709184872,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
187,0,0.3878953469117404,"trade, official, japanese, import, foreign, make, action, country, open, bill"
188,9,0.19876181166503748,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
189,3,0.2950937950937951,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
190,0,0.22131085288980026,"trade, official, japanese, import, foreign, make, action, country, open, bill"
191,3,0.1525974025974026,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
192,8,0.11709689487467265,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
193,8,0.23737373737373738,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
194,3,0.31838383838383844,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
195,1,0.2962121212121212,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
196,9,0.2712097500829895,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
197,9,0.2372589531680441,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
198,7,0.372575310628408,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
199,4,0.18964930200885255,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
200,3,0.14797093744462167,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
201,10,0.14191091240271567,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
202,0,0.2720463057541709,"trade, official, japanese, import, foreign, make, action, country, open, bill"
203,10,0.38383838383838387,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
204,10,0.29046015712682377,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
205,5,0.3765132238414682,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
206,3,0.1703239289446186,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
207,7,0.18449197860962568,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
208,2,0.24483471074380164,"government, plan, tax, make, add, reduce, industry, cut, time, state"
209,5,0.2197691197691198,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
210,8,0.19914167582561362,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
211,10,0.2791159457826125,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
212,6,0.1525974025974026,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
213,0,0.09090909090909093,"trade, official, japanese, import, foreign, make, action, country, open, bill"
214,5,0.19740616036912337,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
215,6,0.2350332594235034,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
216,3,0.16053391053391053,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
217,10,0.1864322234692605,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
218,7,0.2541632541632542,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
219,2,0.46484848484848473,"government, plan, tax, make, add, reduce, industry, cut, time, state"
220,7,0.20044191919191923,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
221,8,0.1190082644628099,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
222,3,0.32501485442661915,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
223,0,0.13131313131313133,"trade, official, japanese, import, foreign, make, action, country, open, bill"
224,10,0.4039157002119965,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
225,7,0.24661872966957718,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
226,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
227,10,0.2060994560994561,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
228,4,0.2159090909090909,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
229,9,0.13603779732811994,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
230,10,0.17171717171717177,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
231,8,0.15998217468805703,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
232,8,0.2481060606060606,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
233,8,0.28226711560044887,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
234,10,0.20463057541709226,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
235,3,0.12506887052341598,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
236,4,0.3233445566778901,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
237,4,0.1677646025472113,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
238,10,0.19490826633683775,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
239,8,0.18552614755146402,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
240,3,0.20097526994078713,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
241,10,0.2204655248133509,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
242,8,0.12680375180375184,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
243,8,0.13355780022446687,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
244,9,0.14325068870523416,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
245,4,0.19084044326762772,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
246,9,0.3042380324989021,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
247,3,0.34801346801346805,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
248,9,0.4241505968778696,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
249,10,0.14021796916533755,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
250,6,0.2711675579322638,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
251,9,0.16835016835016836,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
252,9,0.2115895800106326,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
253,0,0.2542461653572765,"trade, official, japanese, import, foreign, make, action, country, open, bill"
254,10,0.1776589423648247,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
255,3,0.2590989257655924,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
256,3,0.12708907254361798,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
257,5,0.2545812103334228,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
258,10,0.16327985739750445,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
259,10,0.3215709728867624,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
260,10,0.1647727272727273,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
261,3,0.3182571988542138,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
262,7,0.28414010232192044,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
263,8,0.20396270396270394,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
264,3,0.10873440285204988,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
265,9,0.1583043550256665,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
266,5,0.17575757575757575,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
267,4,0.16448434966953485,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
268,5,0.2746142746142746,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
269,10,0.32662445349012514,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
270,3,0.14737539327703264,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
271,10,0.27230639730639733,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
272,5,0.2115895800106327,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
273,2,0.22629706152433426,"government, plan, tax, make, add, reduce, industry, cut, time, state"
274,3,0.25380792047458706,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
275,3,0.1406926406926407,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
276,7,0.21898227558604916,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
277,3,0.15283987415134956,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
278,9,0.31353861192570875,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
279,1,0.3594187488924331,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
280,6,0.24160524160524158,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
281,5,0.168811401688114,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
282,0,0.26885679222127823,"trade, official, japanese, import, foreign, make, action, country, open, bill"
283,4,0.1387741046831956,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
284,0,0.4248907998907999,"trade, official, japanese, import, foreign, make, action, country, open, bill"
285,7,0.3286987522281639,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
286,1,0.2829666528296665,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
287,3,0.12587412587412586,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
288,3,0.22335716717739185,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
289,3,0.1212121212121212,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
290,1,0.48613203861822635,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
291,6,0.26679162761637,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
292,3,0.20597277119016255,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
293,4,0.2337852206273259,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
294,6,0.2453997337718268,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
295,10,0.12484217171717174,"year, dlrs, end, quarter, expect, result, report, sale, earning, analyst"
296,4,0.22111018441293676,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
297,9,0.14842300556586271,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
298,3,0.16583557089886203,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
299,1,0.20687264804911865,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
300,8,0.145050505050505,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
301,3,0.20282828282828286,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
302,9,0.18368873924429482,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
303,1,0.34911616161616166,"rate, bank, market, dollar, interest, exchange, currency, money, week, yen"
304,7,0.15573646916930498,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
305,8,0.24299242424242423,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
306,5,0.13672961499048458,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
307,5,0.1881055452484024,"oil, price, production, crude, day, spokesman, barrel, contract, raise, gas"
308,8,0.17183600713012478,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
309,4,0.13995022690674866,"tonne, export, total, production, year, estimate, week, wheat, grain, month"
310,9,0.23695286195286194,"company, buy, sell, unit, business, acquisition, acquire, sale, firm, complete"
311,7,0.372575310628408,"price, market, agreement, meeting, producer, talk, country, agree, future, member"
312,8,0.15599028257256106,"share, stock, offer, company, common, shareholder, dividend, merger, cash, outstanding"
313,3,0.32933991073525964,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
314,6,0.11930627024966647,"rise, year, fall, growth, month, increase, deficit, compare, economy, show"
315,3,0.1672420406597622,"ct, loss, net, profit, dlrs, note, include, sale, mln, gain"
